lga_name,suburb,latitude,longitude
Glenelg,Tyrendarra,-38.2498873,141.9822579
Glenelg,Tyrendarra East,-38.2498873,141.9822579
Buloke,Tyrrell Downs,-35.3404178,142.7884171
Central Goldfields,Ullina,-37.261355,143.8020236
West Wimmera,Ullswater,-37.0613621,141.3050851
Buloke,Ultima,-35.440122099999996,143.1749726
Buloke,Ultima East,-35.440122099999996,143.1749726
Moira,Ulupna,-35.9078595,145.4471613
Greater Shepparton,Undera,-36.2976747,145.2922335
Mildura,Underbool,-35.1414078,141.7255991
Greater Shepparton,Upotipotpon,-36.6078959,145.7133909
Casey,Upper Ferntree Gully,-37.9368007,145.3032906
Albury,Upper Gundowring,-36.2373927,146.9661233
Benalla,Upper Lurg,-36.675664,146.1588712
Macedon Ranges,Upper Plenty,-37.4071549,144.9832134
Mitchell,Upton Hill,-36.9214551,145.3364703
Yarra Ranges,Upwey,-37.9039829,145.3309395
Wellington,Valencia Creek,-37.6951451,146.9661233
Southern Grampians,Vasey,-37.2543103,141.8100218
Hepburn,Vaughan,-37.0991896,144.1938221
Bass Coast,Ventnor,-38.4898703,145.2038278
South Gippsland,Venus Bay,-38.675332,145.8690603
Maroondah,Vermont,-37.8500602,145.1983055
Maroondah,Vermont South,-37.8500602,145.1983055
Cardinia,Vervale,-38.0999051,145.6800684
Baw Baw,Vesper,-37.7865626,146.0696009
Ararat,Victoria Point,-37.6658132,142.318772
Ararat,Victoria Valley,-37.6658132,142.318772
Banyule,Viewbank,-37.7436031,145.0769045
Swan Hill,Vinifera,-35.205935,143.4014055
Greater Shepparton,Violet Town,-36.6078959,145.7133909
Corangamite,Vite Vite,-37.9076784,143.1749726
Corangamite,Vite Vite North,-37.9076784,143.1749726
Moira,Waaia,-35.9530351,145.2922335
Corangamite,Waarre,-38.6344019,143.1104044
Greater Shepparton,Waggarandall,-36.2251044,145.7133909
Indigo,Wahgunyah,-35.9852648,146.4383942
Strathbogie,Wahring,-36.7719697,145.1155133
East Gippsland,Wairewa,-37.6989476,148.0299382
Buloke,Waitchie,-35.440122099999996,143.1749726
Horsham,Wal Wal,-36.9066682,142.6600232
Baw Baw,Walhalla East,-38.0474021,146.2929381
South Gippsland,Walkerville,-38.675332,145.8690603
South Gippsland,Walkerville North,-38.675332,145.8690603
South Gippsland,Walkerville South,-38.675332,145.8690603
Ballarat,Wallace,-37.7122033,143.8671868
Glenelg,Wallacedale,-37.9603082,141.5570726
East Gippsland,Wallagaraugh,-37.5126059,149.5642369
Northern Grampians,Wallaloo,-36.8204775,142.8312661
Northern Grampians,Wallaloo East,-36.8204775,142.8312661
Macedon Ranges,Wallan,-37.4071549,144.9832134
Ararat,Wallinduc,-37.6978029,143.0029169
Greater Geelong,Wallington,-38.2049453,144.5875645
Loddon,Walmer,-36.9483008,143.9759139
East Gippsland,Walpa,-37.6874281,147.5532762
Mildura,Walpeup,-35.115573,142.0639245
Towong,Walwa,-36.0696807,147.6892483
Campaspe,Wanalta,-36.602205,145.005249
Greater Geelong,Wandana Heights,-38.1747227,144.3139277
Gannawarra,Wandella,-35.7583662,143.8671868
Alpine,Wandiligong,-36.7907956,146.9773826
Cardinia,Wandin East,-37.8251456,145.5579927
Cardinia,Wandin North,-37.8251456,145.5579927
Mitchell,Wandong,-37.3787648,145.0383133
Swan Hill,Wandown,-34.7552395,142.7455935
East Gippsland,Wangarabell,-37.5126059,149.5642369
Wangaratta,Wangaratta,-36.3742363,146.3264849
Buloke,Wangie,-35.7166782,143.1534436
Moyne,Wangoom,-38.1923617,142.6279608
Knox,Wantirna,-37.8668518,145.220397
Knox,Wantirna South,-37.8668518,145.220397
Greater Shepparton,Waranga,-36.4591947,145.2038278
Campaspe,Waranga Shores,-36.602205,145.005249
South Gippsland,Waratah Bay,-38.760009,146.0696009
Yarra Ranges,Warburton,-37.6990844,145.8023118
Mildura,Wargan,-34.189156,141.8100218
Buloke,Warmur,-36.1476587,142.8312661
Colac-Otway,Warncoort,-38.4455968,143.8020236
Buloke,Warne,-35.7166782,143.1534436
Cardinia,Warneet,-38.2092442,145.3917982
