Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2017,December,4 Western, Queenscliffe,133,"4,494.8"
2017,December,4 Western, Southern Grampians,"1,279","7,932.8"
2017,December,4 Western, Surf Coast,"1,166","3,719.7"
2017,December,4 Western, Swan Hill,"2,414","11,579.6"
2017,December,4 Western, Warrnambool,"3,483","10,075.5"
2017,December,4 Western, West Wimmera,188,"4,827.9"
2017,December,4 Western, Yarriambiack,478,"7,151.4"
2017,December,4 Western,Total,"83,337","8,490.4"
2017,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,539",
2017,December,Justice Institutions and Immigration Facilities,Total,"2,539",
2017,December,Unincorporated Vic, Unincorporated Vic,136,
2017,December,Unincorporated Vic,Total,136,
2016,December,1 North West Metro, Banyule,"10,074","7,904.5"
2016,December,1 North West Metro, Brimbank,"19,145","9,376.1"
2016,December,1 North West Metro, Darebin,"16,853","10,864.1"
2016,December,1 North West Metro, Hobsons Bay,"6,703","7,173.2"
2016,December,1 North West Metro, Hume,"23,653","11,424.3"
2016,December,1 North West Metro, Maribyrnong,"9,139","10,511.6"
2016,December,1 North West Metro, Melbourne,"37,855","25,911.0"
2016,December,1 North West Metro, Melton,"12,053","8,522.8"
2016,December,1 North West Metro, Moonee Valley,"9,620","7,829.3"
2016,December,1 North West Metro, Moreland,"14,866","8,628.3"
2016,December,1 North West Metro, Nillumbik,"3,174","4,945.9"
2016,December,1 North West Metro, Whittlesea,"16,669","8,050.4"
2016,December,1 North West Metro, Wyndham,"15,380","6,775.1"
2016,December,1 North West Metro, Yarra,"14,005","15,076.3"
2016,December,1 North West Metro,Total,"209,189","10,214.3"
2016,December,2 Eastern, Alpine,387,"3,076.8"
2016,December,2 Eastern, Bass Coast,"2,948","8,809.5"
2016,December,2 Eastern, Baw Baw,"4,143","8,404.3"
2016,December,2 Eastern, Benalla,"1,604","11,471.9"
2016,December,2 Eastern, Boroondara,"8,397","4,736.7"
2016,December,2 Eastern, East Gippsland,"4,158","9,118.4"
2016,December,2 Eastern, Greater Shepparton,"8,399","12,907.2"
2016,December,2 Eastern, Indigo,396,"2,449.7"
2016,December,2 Eastern, Knox,"12,139","7,570.2"
2016,December,2 Eastern, Latrobe,"14,480","19,404.5"
2016,December,2 Eastern, Manningham,"5,015","4,091.5"
2016,December,2 Eastern, Mansfield,618,"7,124.7"
2016,December,2 Eastern, Maroondah,"9,196","8,010.5"
2016,December,2 Eastern, Mitchell,"4,709","11,266.9"
2016,December,2 Eastern, Moira,"1,946","6,599.7"
2016,December,2 Eastern, Monash,"12,536","6,508.0"
2016,December,2 Eastern, Murrindindi,715,"5,088.2"
2016,December,2 Eastern, South Gippsland,"1,503","5,161.0"
2016,December,2 Eastern, Strathbogie,678,"6,546.3"
2016,December,2 Eastern, Towong,243,"4,019.2"
2016,December,2 Eastern, Wangaratta,"2,594","9,072.5"
2016,December,2 Eastern, Wellington,"4,747","10,905.1"
2016,December,2 Eastern, Whitehorse,"7,988","4,708.8"
2016,December,2 Eastern, Wodonga,"3,310","8,254.4"
2016,December,2 Eastern, Yarra Ranges,"8,917","5,744.5"
2016,December,2 Eastern,Total,"121,766","7,357.4"
2016,December,3 Southern Metro, Bayside,"5,395","5,242.3"
2016,December,3 Southern Metro, Cardinia,"7,231","7,410.9"
2016,December,3 Southern Metro, Casey,"24,079","7,698.2"
2016,December,3 Southern Metro, Frankston,"16,909","12,121.0"
2016,December,3 Southern Metro, Glen Eira,"7,521","5,061.8"
2016,December,3 Southern Metro, Greater Dandenong,"20,632","12,877.1"
2016,December,3 Southern Metro, Kingston,"11,567","7,277.5"
2016,December,3 Southern Metro, Mornington Peninsula,"12,006","7,432.8"
2016,December,3 Southern Metro, Port Phillip,"13,635","12,552.1"
2016,December,3 Southern Metro, Stonnington,"11,592","10,443.0"
2016,December,3 Southern Metro,Total,"130,567","8,694.7"
2016,December,4 Western, Ararat,"1,179","10,038.3"
2016,December,4 Western, Ballarat,"12,089","11,680.2"
2016,December,4 Western, Buloke,230,"3,660.1"
2016,December,4 Western, Campaspe,"3,850","10,240.7"
2016,December,4 Western, Central Goldfields,"1,508","11,522.9"
2016,December,4 Western, Colac-Otway,"1,996","9,343.7"
2016,December,4 Western, Corangamite,959,"5,904.1"
2016,December,4 Western, Gannawarra,612,"5,791.6"
2016,December,4 Western, Glenelg,"1,674","8,472.1"
2016,December,4 Western, Golden Plains,865,"3,929.0"
2016,December,4 Western, Greater Bendigo,"10,853","9,667.1"
2016,December,4 Western, Greater Geelong,"22,962","9,586.3"
2016,December,4 Western, Hepburn,917,"5,906.6"
2016,December,4 Western, Hindmarsh,370,"6,397.0"
2016,December,4 Western, Horsham,"2,824","14,202.4"
2016,December,4 Western, Loddon,478,"6,324.4"
2016,December,4 Western, Macedon Ranges,"2,456","5,172.7"
2016,December,4 Western, Mildura,"6,518","11,925.1"
2016,December,4 Western, Moorabool,"2,534","7,755.9"
2016,December,4 Western, Mount Alexander,"1,254","6,566.5"
2016,December,4 Western, Moyne,646,"3,859.7"
2016,December,4 Western, Northern Grampians,"1,348","11,650.8"
2016,December,4 Western, Pyrenees,561,"7,668.1"
2016,December,4 Western, Queenscliffe,143,"4,882.2"
2016,December,4 Western, Southern Grampians,"1,350","8,373.1"
2016,December,4 Western, Surf Coast,"1,352","4,437.9"
2016,December,4 Western, Swan Hill,"2,224","10,643.2"
2016,December,4 Western, Warrnambool,"3,246","9,479.6"
2016,December,4 Western, West Wimmera,187,"4,749.8"
2016,December,4 Western, Yarriambiack,440,"6,525.3"
2016,December,4 Western,Total,"87,625","9,056.2"
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,681",
2016,December,Justice Institutions and Immigration Facilities,Total,"1,681",
2016,December,Unincorporated Vic, Unincorporated Vic,137,
2016,December,Unincorporated Vic,Total,137,
2015,December,1 North West Metro, Banyule,"9,228","7,318.7"
2015,December,1 North West Metro, Brimbank,"19,229","9,573.3"
2015,December,1 North West Metro, Darebin,"15,342","10,095.1"
2015,December,1 North West Metro, Hobsons Bay,"6,896","7,522.3"
2015,December,1 North West Metro, Hume,"20,496","10,342.3"
2015,December,1 North West Metro, Maribyrnong,"8,680","10,237.9"
2015,December,1 North West Metro, Melbourne,"34,395","25,129.3"
2015,December,1 North West Metro, Melton,"11,019","8,167.4"
2015,December,1 North West Metro, Moonee Valley,"9,621","8,002.1"
2015,December,1 North West Metro, Moreland,"14,045","8,366.6"
2015,December,1 North West Metro, Nillumbik,"3,022","4,746.0"
2015,December,1 North West Metro, Whittlesea,"13,733","6,976.5"
2015,December,1 North West Metro, Wyndham,"14,315","6,695.0"
2015,December,1 North West Metro, Yarra,"12,954","14,405.7"
2015,December,1 North West Metro,Total,"192,975","9,757.5"
2015,December,2 Eastern, Alpine,489,"3,934.3"
2015,December,2 Eastern, Bass Coast,"2,789","8,561.5"
2015,December,2 Eastern, Baw Baw,"3,771","7,883.0"
2015,December,2 Eastern, Benalla,"1,150","8,259.7"
2015,December,2 Eastern, Boroondara,"7,457","4,267.2"
2015,December,2 Eastern, East Gippsland,"4,193","9,345.2"
2015,December,2 Eastern, Greater Shepparton,"7,650","11,862.5"
2015,December,2 Eastern, Indigo,515,"3,234.5"
2015,December,2 Eastern, Knox,"10,122","6,378.1"
2015,December,2 Eastern, Latrobe,"13,270","17,868.2"
2015,December,2 Eastern, Manningham,"4,382","3,627.9"
2015,December,2 Eastern, Mansfield,414,"4,853.5"
2015,December,2 Eastern, Maroondah,"7,780","6,883.6"
2015,December,2 Eastern, Mitchell,"4,118","10,227.5"
